toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_trandurh,pl_tranmid,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_rad,st_logg,st_dist,ra,dec
7107.01,237019002,PC,8.6145655,6195.0,4.84,2460418.354009,12.146,577.62,1365.0,12.1748,6467.0,1.38,4.28,563.391,306.570479,60.668422
7108.01,430406538,PC,2.4425105,5639.0,2.964,2460419.743954,,,,13.0372,,,,1119.54,332.570963,50.504251
7109.01,430845815,PC,3.2396607,6158.0,2.42,2460419.556623,,,,12.8137,,,,565.628,334.051035,50.390366
711.01,38510224,PC,18.3841259,1010.0989222,3.4924479,2458329.915053,2.1505216,10.4112654,458.1372754,11.7481,4356.0,0.681407,4.60471,118.28,62.516131,-61.942668
7110.01,266488971,PC,8.8182594,5493.0,2.169,2460541.666163,13.1872,61.7662,781.0,13.2009,6052.0,1.84,3.96,1165.55,296.584159,56.166677
7111.01,200465781,PC,7.0634276,5286.0,2.056,2460422.363607,11.2092,102.801,887.0,12.9436,6354.0,1.34,4.28,741.716,338.88337,45.834178
7112.01,66286602,PC,3.424993,6276.0,2.134,2460569.248825,,,,13.3724,,,,863.955,341.011708,49.687459
7113.01,335624180,PC,4.6351977,11113.0,3.856,2460418.978111,15.825,449.395,1282.0,12.6686,5691.0,1.57,4.05,561.587,332.920933,60.758124
7365.01,120737368,PC,3.1924816,14119.0,3.211,2460580.641468,14.5588,798.53,1480.0,13.2497,5964.0,1.26,4.28,772.216,354.237939,27.906954
7366.01,21349099,PC,3.753877,7099.0,1.209,2460578.561665,6.20384,19.4458,585.0,12.6275,4049.0,0.7,4.55,145.189,351.210687,30.629596
7367.01,240535286,PC,2.9814911,19021.0,2.431,2460578.688447,13.0485,575.825,1364.0,12.3021,6168.0,0.93,4.57,363.454,323.962083,44.312619
7368.01,256783400,PC,33.5792968,3860.0,4.713,2460546.553568,8.91632,32.7484,666.0,10.9461,6294.0,1.43,4.22,341.206,329.31887,36.053134
7369.01,139350191,PC,10.2887023,8079.0,2.967,2460574.789538,9.85033,61.3136,779.0,11.5809,5853.0,1.08,4.4,301.793,344.952498,18.472756
7370.01,97248423,PC,13.3079913,4804.0,3.42,2460573.539447,9.05348,66.8363,796.0,12.5013,5854.4,1.34,4.21,589.45,348.801337,17.320768
7371.01,452727513,PC,18.9104241,10263.0,3.243,2460559.124766,7.90384,10.2465,498.0,13.2777,4801.0,0.8,4.52,349.236,327.791518,24.620511
7374.01,88641387,PC,17.0303122,8080.0,4.125,2460582.682876,16.1351,160.798,992.0,13.2325,5797.0,1.11,4.37,670.314,341.431001,13.522818
7375.01,395790368,PC,27.1970496,4620.0,5.476,2460580.648685,5.40151,33.8579,672.0,11.7285,5859.0,0.94,4.52,288.327,326.654048,48.044159
7376.01,245349211,PC,7.4861705,9456.0,2.425,2460581.133031,11.6489,123.231,928.0,13.4565,5658.0,1.11,4.34,630.502,346.436934,22.72214
7377.01,255998336,PC,6.7735083,5189.0,2.36,2460572.501975,7.81582,62.2808,782.0,13.283,5080.0,1.12,4.27,537.0,304.366738,53.315974
7378.01,373196394,PC,7.0814677,1018.0,2.055,2460582.875797,2.13402,16.5736,562.0,10.7934,4024.0,0.65,4.61,59.9538,319.904147,36.103965
7379.01,427715152,PC,10.9911631,18917.0,1.559,2460573.721491,21.5876,16.8854,564.0,13.2782,4915.3,1.01,4.34,452.675,351.267408,18.821592
738.01,260304800,PC,3.4405946,8647.4527322,2.5441317,2458544.257701,8.8966421,331.8274983,1088.5486481,12.7474,5324.0,0.942255,4.43563,389.884,94.535471,-57.558727
7380.01,53461742,PC,4.4136877,10509.3289627,3.411058,2460663.330929,18.2343114,1427.7515561,1567.7720228,13.2956,6627.0,1.6901799,4.12522,1305.98,102.891692,-26.992631
7588.01,279154795,PC,4.1835297,6193.5950997,1.2519719,2460892.269125,8.969102,354.0046455,1205.3136193,12.4341,5970.84,1.1102,4.38865,477.122,102.797858,-55.232262
7589.01,452837676,PC,1.4866436,16141.3790366,1.3546872,2460716.089033,10.6873632,1091.6217701,1599.9500871,12.269,6488.0,1.47,4.22,,120.054486,1.532714
759.01,152147232,APC,4.2135662,6400.0,2.904,2459331.163575,12.9663,504.781,1320.0,11.6713,6107.0,1.53,4.11585,516.041,169.909474,-39.46208
7590.01,148322608,PC,7.3364117,3049.8077305,1.3725049,2460713.382013,11.2874111,127.2225463,935.685131,12.1307,6374.0,1.97066,3.95265,793.192,101.663559,-36.739778
7591.01,55967712,PC,14.2288072,5389.8258926,5.4489648,2460714.187417,9.4259635,313.0047045,1171.4443473,12.4582,5643.0,1.32876,4.19161,532.184,112.928933,-11.961518
7592.01,267834862,PC,18.0214321,5109.9698818,3.6135488,2460743.285001,5.8290579,74.1626816,817.1813032,12.5472,5355.0,0.868052,4.52946,313.822,115.059345,-48.695148
7593.01,238394308,PC,34.3299701,5505.910973,4.6826306,2460719.885583,8.1571305,61.3934374,778.8338384,12.3594,6298.0,1.16883,4.39598,505.258,120.797868,-48.169526
7594.01,308692360,PC,9.9892115,3903.5959461,4.544581,2460702.651463,9.5675697,478.683606,1302.6155664,12.1132,5776.75,1.54826,4.07542,564.151,135.181967,-15.7808
7595.01,54272884,PC,15.482117,3730.4023882,2.0080257,2460694.205313,16.0344623,68.3750803,800.7406926,12.3979,6543.0,2.18633,3.88897,1094.22,118.304017,-17.115898
7596.01,47248224,PC,5.5378585,4517.7580365,2.4116925,2460713.876269,20.1107107,3177.3273121,2090.9346809,12.3039,6670.0,1.76295,4.09481,888.521,134.846681,-11.056526
7597.01,167337562,PC,50.6660684,3507.5205293,6.9787124,2460887.213792,6.9671291,52.5469574,750.6726259,12.743,5815.0,1.31247,4.22308,625.863,98.580323,-71.270252
7598.01,185620819,PC,13.3173115,9486.4562187,2.126603,2460718.562922,20.7624196,260.078096,1117.0762593,12.5694,6319.0,1.32556,4.29018,640.905,130.379121,-34.314658
7599.01,142757891,APC,2.3428516,3030.8533884,1.2887115,2460717.384483,12.7758071,1701.6199879,1790.931674,11.8384,6941.0,2.36102,3.87371,999.042,118.936727,-18.526592
760.01,162362398,APC,12.3396368,13386.1311036,6.2659032,2458578.666284,28.8331721,1153.2432472,1486.2777613,10.6171,7852.0,2.29741,4.20409,651.263,169.414385,-44.017088
6873.01,67395329,PC,18.8204255,983.8549658,2.4015591,2460236.840703,3.5747237,32.1751474,607.4351032,8.6781,5450.0,0.868947,4.5378,60.1874,121.454994,20.803931
6875.01,403693870,PC,3.5245689,20956.9478296,3.150024,2460235.651353,17.3489851,795.9648554,1354.7002867,13.1378,6203.0,1.17724,4.37189,753.865,105.009764,11.045477
6879.01,364955057,PC,13.5853161,850.0,5.271,2460263.238568,3.82513,156.928,986.0,10.4398,5854.0,1.43,4.15,248.774,163.02506,10.794672
