tid,pl_orbper,label,pl_trandep,pl_tranmid
444415148,1.83641,false_positive,470.0,2458764.8746
403287048,7.00776,false_positive,3666.99,2458327.92337
269238073,6.1461734,false_positive,1034.0,2459878.512429
366074069,4.1812866,false_positive,4280.0,2459905.397712
367102581,2.9798592,false_positive,580.0,2459739.798591
387413037,6.72694,false_positive,1070.0,2458738.95028
314338017,10.9554897,false_positive,370.0,2459837.025075
276380902,0.6171788,false_positive,519.0,2460421.693989
313761775,1.5309799,false_positive,654.0,2460421.872558
312259170,0.8229,false_positive,2660.0,2458764.94054
312469860,0.50261,false_positive,1120.0,2458764.79362
354600221,1.41853,false_positive,560.0,2458764.81698
420288086,6.5344463,false_positive,3240.0,2459906.577796
445137888,2.013653,false_positive,822.8974252,2459882.951315
252636888,2.590266,false_positive,700.0,2459880.28094
389525208,6.74657,false_positive,2970.0,2458329.36085
318746829,5.2273176,false_positive,2856.0,2460421.233495
319068154,3.7983639,false_positive,3194.0,2460423.401581
367607434,8.2916,false_positive,470.0,2458744.44353
431585347,5.13664,false_positive,930.0,2458766.20793
127425841,1.5166573,false_positive,1590.0,2459880.31948
409520860,0.71933,false_positive,478.823,2458765.11416
440100539,12.6017,false_positive,800.0,2458769.32363
191146556,2.5798051,false_positive,5740.0,2459881.330991
241065596,1.6256942,false_positive,1720.0,2459907.94901
326919774,7.57193,false_positive,420.0,2458771.77219
299158887,9.4341589,planet,4001.924935,2459444.896746
441732151,2.09989,false_positive,27336.4,2458712.08879
405794804,1.44127,false_positive,2750.0,2458740.21873
320506985,1.08697,false_positive,860.0,2458765.31897
117322779,0.68601,false_positive,910.0,2458791.07301
220518305,14.1520377,false_positive,3180.4559232,2460968.40875
245462406,2.27456,false_positive,1020.0,2458791.81704
249862365,0.98999,false_positive,420.0,2458791.5299
256414077,3.01106,false_positive,1617.22,2458793.38207
284050395,1.35932,false_positive,2840.0,2458765.47569
285666479,1.71614,false_positive,681.449,2458791.98363
269892793,1.7729239,false_positive,26694.3797428,2459882.483425
286355915,4.076684,false_positive,10459.727229,2459885.666366
348673213,0.901465,false_positive,3156.5658264,2458791.468047
79395355,7.31898,false_positive,3809.3,2458328.33733
396562848,1.9495403,planet,2089.2444115,2459767.373106
22843856,1.8497201,false_positive,5750.0,2459521.618633
184679932,2.1721416,false_positive,17864.5520776,2458791.425546
387527558,3.623909,false_positive,26979.8210456,2458794.103356
154927364,6.9744232,false_positive,9189.0,2460334.944097
376353509,7.3315684,planet,893.0,2460467.880926
116608612,3.4557863,false_positive,6423.0,2460310.718475
350743714,7.757643,false_positive,7336.6908822,2460746.619767
122485078,9.1505,false_positive,1370.0,2458822.09874
458914949,12.5343031,false_positive,1517.0,2459924.681114
52041724,35.4028219,false_positive,12666.0,2458942.422274
394657039,3.7628372,planet,11360.0,2459382.232709
71854745,3.10315,false_positive,1760.07,2458793.51014
186599508,5.6318074,false_positive,1186.1481873,2458794.89641
192372961,2.06313,false_positive,600.0,2458792.29644
201154493,1.51233,false_positive,640.0,2458792.1989
385105624,1.7498117,false_positive,2549.0,2460662.169629
431899140,1.9734615,false_positive,1295.0,2459928.934925
68152139,0.73772,false_positive,980.0,2458792.46525
129979528,1.2198382,planet,12160.1096043,2459883.198788
253917293,4.608,false_positive,3213.22,2458327.37627
187029841,0.361112,false_positive,710.0,2459909.805131
139375960,5.33155,planet,4220.0,2458793.27728
129991079,6.15952,false_positive,1230.0,2458792.50412
73448352,4.7321735,planet,8121.0,2460630.419608
118301361,3.46608,false_positive,1620.0,2458793.39828
101037590,8.7094632,planet,4510.0,2459896.132645
26433869,1.0357235,false_positive,480.0,2459471.339568
138017750,2.4727425,false_positive,2929.0,2460632.178917
229951289,13.3118,false_positive,750.0,2458692.73536
264678534,16.2016817,planet,885.0,2460643.486453
268403451,2.8641388,planet,9597.0,2460334.805905
272625214,5.2469991,false_positive,1180.0,2458979.490719
317397615,0.7438074,false_positive,633.0,2460479.137922
317507345,3.9401791,false_positive,13317.0,2460473.279498
